,index,product,date,region,sales
0,0,pink morsel,2018-02-06,north,1638.0
1,1,pink morsel,2018-02-06,south,1647.0
2,2,pink morsel,2018-02-06,east,1731.0
3,3,pink morsel,2018-02-06,west,1557.0
4,28,pink morsel,2018-02-07,north,1587.0
5,29,pink morsel,2018-02-07,south,1698.0
6,30,pink morsel,2018-02-07,east,1542.0
7,31,pink morsel,2018-02-07,west,1635.0
8,56,pink morsel,2018-02-08,north,1602.0
9,57,pink morsel,2018-02-08,south,1536.0
10,58,pink morsel,2018-02-08,east,1503.0
11,59,pink morsel,2018-02-08,west,1701.0
12,84,pink morsel,2018-02-09,north,1758.0
13,85,pink morsel,2018-02-09,south,1662.0
14,86,pink morsel,2018-02-09,east,1782.0
15,87,pink morsel,2018-02-09,west,1515.0
16,112,pink morsel,2018-02-10,north,1662.0
17,113,pink morsel,2018-02-10,south,1557.0
18,114,pink morsel,2018-02-10,east,1650.0
19,115,pink morsel,2018-02-10,west,1674.0
20,140,pink morsel,2018-02-11,north,1554.0
21,141,pink morsel,2018-02-11,south,1587.0
22,142,pink morsel,2018-02-11,east,1563.0
23,143,pink morsel,2018-02-11,west,1764.0
24,168,pink morsel,2018-02-12,north,1758.0
25,169,pink morsel,2018-02-12,south,1608.0
26,170,pink morsel,2018-02-12,east,1569.0
27,171,pink morsel,2018-02-12,west,1653.0
28,196,pink morsel,2018-02-13,north,1572.0
29,197,pink morsel,2018-02-13,south,1716.0
30,198,pink morsel,2018-02-13,east,1773.0
31,199,pink morsel,2018-02-13,west,1725.0
32,224,pink morsel,2018-02-14,north,1767.0
33,225,pink morsel,2018-02-14,south,1710.0
34,226,pink morsel,2018-02-14,east,1698.0
35,227,pink morsel,2018-02-14,west,1512.0
36,252,pink morsel,2018-02-15,north,1746.0
37,253,pink morsel,2018-02-15,south,1734.0
38,254,pink morsel,2018-02-15,east,1524.0
39,255,pink morsel,2018-02-15,west,1614.0
40,280,pink morsel,2018-02-16,north,1578.0
41,281,pink morsel,2018-02-16,south,1782.0
42,282,pink morsel,2018-02-16,east,1527.0
43,283,pink morsel,2018-02-16,west,1752.0
44,308,pink morsel,2018-02-17,north,1785.0
45,309,pink morsel,2018-02-17,south,1689.0
46,310,pink morsel,2018-02-17,east,1641.0
47,311,pink morsel,2018-02-17,west,1575.0
48,336,pink morsel,2018-02-18,north,1644.0
49,337,pink morsel,2018-02-18,south,1674.0
50,338,pink morsel,2018-02-18,east,1551.0
